CELL_LINE_NAME,COSMIC_ID,DRUG_ID,DRUGID_COSMICID,FOLD_DILUTION,MAX_CONC,fd_num_0,fd_num_1,fd_num_2,fd_num_3,fd_num_4,fd_num_5,fd_num_6,fd_num_7,fd_num_8,fd_num_9,norm_cells_0,norm_cells_1,norm_cells_2,norm_cells_3,norm_cells_4,norm_cells_5,norm_cells_6,norm_cells_7,norm_cells_8,norm_cells_9,drug_name,CCL_name,dif_first,dif_last,logLogist_3_param_r2,logLogist_3_param
451Lu,1287706,1061,1061_1287706,2,5.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.985396371,0.738613823,0.435073955,0.267174192,0.269110429,0.230414914,0.190824346,0.155861262,0.136106773,SB590885,451Lu,0.014603629,0.019754489,0.9893794958875852,[-0.55863768 -5.03677053  0.19195206]
KOPN-8,1330933,60,60_1330933,2,0.256,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.957364711,0.980404797,0.990189489,0.95105072,0.958657611,0.728378247,0.116216626,0.046383733,0.056193812,BI-2536,KOPN-8,0.042635289,0.009810079,0.9971019677788165,[-0.15503984 -7.00483232  0.04829535]
MV-4-11,908156,200,200_908156,2,1.024,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.965240928,0.746858452,0.325232616,0.035406148,0.009800836,0.007871341,0.007088531,0.00902042,0.011153398,Dacinostat,MV-4-11,0.0347590719999999,0.002132978,0.9990995581902172,[-5.44599821e-01 -6.17023432e+00  3.01124995e-03]
MV-4-11,908156,235,235_908156,2,10.24,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.995948311,0.834345222,0.641879734,0.335356584,0.073954659,0.008392153,0.006252498,0.004262508,0.001442893,QL-XII-47,MV-4-11,0.0040516889999999,0.002819615,0.9980571344148763,[-0.41956041 -4.27472223 -0.00505654]
NCI-H510A,753605,165,165_753605,2,4000.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.992310623,0.927715165,0.85195851,0.735253291,0.476638979,0.244936953,0.124497115,0.044129241,0.003052706,DMOG,NCI-H510A,0.007689377,0.041076535,0.9981376787572651,[-0.26297303 -2.95268974  0.02794171]
EB2,906846,200,200_906846,2,1.024,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.956134068,0.917948326,0.791256129,0.480705444,0.223271295,0.085258979,0.049086883,0.021598376,0.014814066,Dacinostat,EB2,0.0438659319999999,0.0067843099999999,0.9988270320221796,[-0.35852135 -4.09569812  0.02755773]
CHSA0108,1290768,219,219_1290768,2,10.24,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.959779708,0.922442464,0.732403922,0.781858742,0.671995393,0.221838234,0.058064934,0.073273436,0.061039474,AT-7519,CHSA0108,0.0402202919999999,0.0122339619999999,0.9644126458165673,[-0.24461782 -2.86646242  0.03004714]
NCI-H865,1330977,273,273_1330977,2,5.12,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.984831771,0.947200856,0.825667612,0.69583364,0.331196158,0.050187302,0.006105507,0.006910884,0.003782184,CUDC-101,NCI-H865,0.015168229,0.0031287,0.996742877971827,[-0.30075362 -4.21783497 -0.00782603]
NAMALWA,908159,134,134_908159,2,16.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.954935713,0.972503656,0.791642412,0.537073917,0.304027722,0.231119711,0.16424715,0.121671215,0.118630475,Etoposide,NAMALWA,0.0450642869999999,0.00304074,0.9951901481310526,[-0.3607032  -4.10163753  0.14344114]
MOLM-13,1330947,1037,1037_1330947,2,5.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.975828862,0.954661406,0.742493557,0.530301338,0.268900338,0.090044465,0.087378442,0.070353711,0.04851998,BX796,MOLM-13,0.024171138,0.021833731,0.9976448948229036,[-0.35651012 -3.94216338  0.06056462]
