CELL_LINE_NAME,COSMIC_ID,DRUG_ID,DRUGID_COSMICID,FOLD_DILUTION,MAX_CONC,fd_num_0,fd_num_1,fd_num_2,fd_num_3,fd_num_4,fd_num_5,fd_num_6,fd_num_7,fd_num_8,fd_num_9,norm_cells_0,norm_cells_1,norm_cells_2,norm_cells_3,norm_cells_4,norm_cells_5,norm_cells_6,norm_cells_7,norm_cells_8,norm_cells_9,drug_name,CCL_name,dif_first,dif_last
HCC1187,749711,208,208_749711,2,0.128,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.952617876,0.961702067,0.979645497,0.938934543,0.667032,0.118794602,0.09627571,0.096165925,0.099327094,Ispinesib Mesylate,HCC1187,0.04738212399999997,0.0031611690000000053
DEL,906836,53,53_906836,2,0.256,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.979598771,0.840677137,0.895135485,0.812625305,0.667934883,0.443318807,0.136846602,0.000140599,0.004483597,CGP-60474,DEL,0.020401228999999965,0.004342998
LC-1F,907785,200,200_907785,2,1.024,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.998362089,0.874412376,0.613004379,0.309960101,0.145598257,0.131587407,0.082974727,0.061114165,0.101044206,Dacinostat,LC-1F,0.001637910999999992,0.039930041
SK-NEP-1,909730,272,272_909730,2,5.12,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.951924181,0.955000746,0.751803658,0.352682296,0.090049469,0.041982638,0.026131139,0.024129317,0.024181963,AR-42,SK-NEP-1,0.04807581900000002,5.264599999999994e-05
HCC1187,749711,330,330_749711,2,10.24,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.9652696,0.98206144,0.958873171,0.915385593,0.826472506,0.521798678,0.353312184,0.139617339,0.13933426,XMD13-2,HCC1187,0.03473040000000005,0.0002830790000000194
TT2609-C02,1240223,1003,1003_1240223,2,0.1,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.977453638,0.877976473,0.810839985,0.716665399,0.452153331,0.230125183,0.199125969,0.144031021,0.12875921,Camptothecin,TT2609-C02,0.022546362000000042,0.015271810999999996
NU-DUL-1,1330982,1007,1007_1330982,2,0.0125,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.968544058,0.980993531,0.96654106,0.958724276,0.873346309,0.809166761,0.434071765,0.144563815,0.132361236,Docetaxel,NU-DUL-1,0.031455942000000015,0.012202579000000019
OMC-1,949154,167,167_949154,2,16.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.97381104,0.872387865,0.867204122,0.950160212,0.681572119,0.877064034,0.702992858,0.073254458,0.094043428,OSU-03012,OMC-1,0.02618896000000004,0.020788970000000004
RPMI-7951,910903,276,276_910903,2,20.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.973001082,0.860715047,0.804615702,0.533984247,0.280495194,0.041995593,0.003947334,-0.004601648,-0.008299209,CAY10603,RPMI-7951,0.026998917999999983,0.0036975610000000003
ST486,910906,104,104_910906,2,0.02,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.972194338,0.95242193,0.927573885,0.964112889,0.941037893,0.937471503,0.526096345,0.057288618,0.021556237,Bortezomib,ST486,0.02780566200000001,0.035732381
BE-13,906763,135,135_906763,2,1.024,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.950133798,0.759873447,0.274351779,0.088561547,0.009217235,0.059283254,0.038010022,0.01139623,0.010892229,Gemcitabine,BE-13,0.049866202000000026,0.0005040010000000004
MC116,907799,136,136_907799,2,16.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.986131392,0.914869675,0.820060211,0.79781596,0.677274511,0.349448431,0.088405989,0.013215516,0.004716041,Mitomycin-C,MC116,0.013868608000000004,0.008499475
NCI-SNU-1,908444,219,219_908444,2,10.24,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.964195481,0.914881084,0.846523794,0.771123572,0.592342968,0.294878603,0.145188541,0.100621948,0.073389188,AT-7519,NCI-SNU-1,0.035804519000000035,0.02723276000000001
DB,906832,104,104_906832,2,0.02,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.987953511,0.954692087,0.952831771,0.934109005,0.824192312,0.048470468,0.023699005,0.021003576,0.019480722,Bortezomib,DB,0.012046489000000049,0.0015228540000000006
LN-229,1240169,200,200_1240169,2,1.024,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.96328999,0.872140476,0.70878182,0.507850727,0.575315228,0.271849117,0.103914978,0.041140553,0.021643593,Dacinostat,LN-229,0.03671000999999996,0.019496960000000004
CAL-12T,753540,196,196_753540,2,4000.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.555555556,0.666666667,0.777777778,0.888888889,1.0,1,0.995300471,0.986966774,0.830331311,0.770647331,0.771159499,0.480065426,0.128508149,0.105336226,0.113627853,Phenformin,CAL-12T,0.004699529000000036,0.008291626999999996
